school_name,school_type,local_authority,sector,pupils,postcode,latitude,longitude,near_transport
Ysgol Dolbadarn,"Nursery, Infants & Juniors",Gwynedd,Primary,132.0,LL55 4SH,53.117819102423596,-4.128319819510598,True
Ysgol Gynradd Edern,"Nursery, Infants & Juniors",Gwynedd,Primary,78.0,LL53 8YW,52.92348751177801,-4.564844544964797,False
Ysgol Bro Plenydd,"Nursery, Infants & Juniors",Gwynedd,Primary,91.0,LL53 6UP,52.92602468604424,-4.385318662407055,True
Ysgol Gynradd Garndolbenmaen,"Nursery, Infants & Juniors",Gwynedd,Primary,15.0,LL51 9SZ,52.97249627847855,-4.242450661797491,True
Ysgol Gynradd Llanbedrog,"Nursery, Infants & Juniors",Gwynedd,Primary,97.0,LL53 7NU,52.85942649998156,-4.488580229534629,True
Ysgol Gynradd Llangybi,"Nursery, Infants & Juniors",Gwynedd,Primary,23.0,LL53 6DQ,52.94154326429713,-4.35289248975994,True
Ysgol Llanllechid,"Nursery, Infants & Juniors",Gwynedd,Primary,260.0,LL57 3EH,53.18866381705405,-4.065622211481323,True
Ysgol Gynradd Llanllyfni,"Nursery, Infants & Juniors",Gwynedd,Primary,77.0,LL54 6SH,53.04110080296953,-4.28293259693682,True
YSGOL BABANOD MORFA NEFYN,"Nursery, Infants & Juniors",Gwynedd,Primary,22.0,LL53 6AR,52.931064514102076,-4.549117384475002,True
Ysgol Baladeulyn,"Nursery, Infants & Juniors",Gwynedd,Primary,13.0,LL54 6BT,53.05799298942015,-4.215058138923155,True
Ysgol Gynradd Nebo,"Nursery, Infants & Juniors",Gwynedd,Primary,10.0,LL54 6EE,53.02991348078727,-4.269440872651781,True
Ysgol Gymuned Penisarwaun,"Nursery, Infants & Juniors",Gwynedd,Primary,39.0,LL55 3BW,53.152549418085854,-4.162283114583755,True
Ysgol Bro Lleu,"Nursery, Infants & Juniors",Gwynedd,Primary,190.0,LL54 6RL,53.05367897000049,-4.277793002411892,True
YSGOL GYNRADD  PENTREUCHAF,"Nursery, Infants & Juniors",Gwynedd,Primary,93.0,LL53 8DZ,52.928590786853626,-4.4518073770932585,True
Ysgol Rhiwlas,"Nursery, Infants & Juniors",Gwynedd,Primary,36.0,LL57 4EH,53.17360590957828,-4.132861759509006,True
Ysgol Gynradd Rhosgadfan,"Nursery, Infants & Juniors",Gwynedd,Primary,39.0,LL54 7EU,53.091151495499496,-4.230934764503631,True
Ysgol Gynradd Rhostryfan,"Nursery, Infants & Juniors",Gwynedd,Primary,78.0,LL54 7LR,53.097511331859515,-4.246051799638748,True
YSGOL SARN BACH,"Nursery, Infants & Juniors",Gwynedd,Primary,24.0,LL53 7LF,52.81061625796214,-4.519401192769673,True
Ysgol Eifion Wyn,"Nursery, Infants & Juniors",Gwynedd,Primary,212.0,LL49 9NU,52.929423617664,-4.136411210953459,True
Ysgol Gynradd Talysarn,"Nursery, Infants & Juniors",Gwynedd,Primary,96.0,LL54 6HR,53.05461159977858,-4.255279465810182,True
YSGOL Y GORLAN,"Nursery, Infants & Juniors",Gwynedd,Primary,109.0,LL49 9RN,52.93968620782636,-4.147662102750064,True
Ysgol yr Eifl,"Nursery, Infants & Juniors",Gwynedd,Primary,44.0,LL54 5LU,52.99306260886166,-4.423614789130038,True
YSGOL GYNRADD TUDWEILIOG,"Nursery, Infants & Juniors",Gwynedd,Primary,51.0,LL53 8ND,52.89875416493065,-4.6235459827691745,True
Ysgol Waunfawr,"Nursery, Infants & Juniors",Gwynedd,Primary,116.0,LL55 4LJ,53.11175490160705,-4.206062118496361,True
Ysgol Glancegin,"Nursery, Infants & Juniors",Gwynedd,Primary,219.0,LL57 1ST,53.22598347775924,-4.117337107695628,True
Ysgol Yr Hendre,"Nursery, Infants & Juniors",Gwynedd,Primary,378.0,LL55 2AT,53.136594337183894,-4.2595246826481015,True
Ysgol Bontnewydd,"Nursery, Infants & Juniors",Gwynedd,Primary,214.0,LL55 2UF,53.115072920296804,-4.2694273483020115,True
Ysgol Gymraeg y Garnedd,"Nursery, Infants & Juniors",Gwynedd,Primary,394.0,LL57 2LX,53.2139392491225,-4.15625340438259,True
Ysgol Cymerau,"Nursery, Infants & Juniors",Gwynedd,Primary,253.0,LL53 5AR,52.88251416634054,-4.417367594640481,True
Ysgol Abercaseg (Babanod),Nursery & Infants,Gwynedd,Primary,76.0,LL57 3PL,53.17782909739466,-4.054775813049252,True
Ysgol y Felinheli,"Nursery, Infants & Juniors",Gwynedd,Primary,157.0,LL56 4TZ,53.17690768087688,-4.216423569070941,True
Ysgol y Traeth,"Nursery, Infants & Juniors",Gwynedd,Primary,185.0,LL42 1HH,52.724936376587465,-4.061401271710739,True
Ysgol Gynradd Dyffryn Dulas,"Nursery, Infants & Juniors",Gwynedd,Primary,33.0,SY20 9TQ,52.653088646851096,-3.8408353366682157,True
Ysgol Gynradd Dyffryn Ardudwy,Infants & Juniors,Gwynedd,Primary,68.0,LL44 2EP,52.78427339639453,-4.094991185570051,True
Ysgol Bro Cynfal,"Nursery, Infants & Juniors",Gwynedd,Primary,40.0,LL41 4NF,52.95847101562034,-3.932305208240191,True
Ysgol Edmwnd Prys,"Nursery, Infants & Juniors",Gwynedd,Primary,18.0,LL41 4DY,52.939526892508354,-3.959795983892374,True
Ysgol Gynradd Llanbedr,Infants & Juniors,Gwynedd,Primary,43.0,LL45 2NW,52.82146713883087,-4.096142240565407,False
YSGOL Y GARREG,"Nursery, Infants & Juniors",Gwynedd,Primary,17.0,LL48 6LJ,52.95416569277377,-4.063223939915499,True
Ysgol O M Edwards,"Nursery, Infants & Juniors",Gwynedd,Primary,74.0,LL23 7UB,52.85971868384215,-3.674826429781378,True
Ysgol Manod,"Nursery, Infants & Juniors",Gwynedd,Primary,86.0,LL41 4AF,52.98455436997613,-3.9311007711023978,True
Ysgol Gynradd Pennal,"Nursery, Infants & Juniors",Gwynedd,Primary,34.0,SY20 9JT,52.585995009774045,-3.9219270108652653,True
Ysgol Cefn Coch,"Nursery, Infants & Juniors",Gwynedd,Primary,157.0,LL48 6AE,52.9300121254461,-4.068115496655505,True
Ysgol Talsarnau,"Nursery, Infants & Juniors",Gwynedd,Primary,26.0,LL47 6TA,52.90167604647292,-4.066899150129124,True
Ysgol Gynradd Tanygrisiau,"Nursery, Infants & Juniors",Gwynedd,Primary,32.0,LL41 3SU,52.98655017482461,-3.957484990834872,True
Ysgol Gynradd Penybryn,Infants & Juniors,Gwynedd,Primary,240.0,LL36 9EF,52.58516223916459,-4.08277799809307,True
Ysgol Bro Hedd Wyn,"Nursery, Infants & Juniors",Gwynedd,Primary,64.0,LL41 4SE,52.90116220073437,-3.92303285381858,True
Ysgol Bro Tryweryn,"Nursery, Infants & Juniors",Gwynedd,Primary,61.0,LL23 7NT,52.93928439049888,-3.631468883418968,True
Ysgol Tanycastell,"Nursery, Infants & Juniors",Gwynedd,Primary,77.0,LL46 2UE,52.86345354216151,-4.106901679873401,True
Ysgol Ffridd y LLyn,"Nursery, Infants & Juniors",Gwynedd,Primary,45.0,LL23 7HE,52.93277392915098,-3.5386031687942134,True
Ysgol Maenofferen,"Nursery, Infants & Juniors",Gwynedd,Primary,214.0,LL41 3UL,52.99440837506219,-3.9382608020827186,True
Ysgol Hirael,"Nursery, Infants & Juniors",Gwynedd,Primary,191.0,LL57 1BA,53.23143822244637,-4.1220265033738075,True
Ysgol Craig y Deryn,"Nursery, Infants & Juniors",Gwynedd,Primary,95.0,LL36 9SG,52.62575202826715,-4.072698701027032,True
Ysgol Bro Llifon,"Nursery, Infants & Juniors",Gwynedd,Primary,150.0,LL54 7DT,53.07776552946313,-4.275466592024407,True
YSGOL PONT Y GOF,"Nursery, Infants & Juniors",Gwynedd,Primary,101.0,LL53 8RA,52.84986060281763,-4.587309317042189,True
Ysgol Gynradd Maesincla,"Nursery, Infants & Juniors",Gwynedd,Primary,266.0,LL55 1DF,53.14159641910913,-4.259686250881916,True
Ysgol Y Faenol,"Nursery, Infants & Juniors",Gwynedd,Primary,225.0,LL57 2NN,53.20832622244081,-4.168790535863565,True
YSGOL FOEL GRON,"Nursery, Infants & Juniors",Gwynedd,Primary,29.0,LL53 7RN,52.850888774474925,-4.522016110845564,True
Ysgol Llandygai,"Nursery, Infants & Juniors",Gwynedd,Primary,80.0,LL57 4HU,53.216807325599405,-4.097846839779422,True
