Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,School,School_reference,School_sort,School_hierarchy,Category,Category_reference,Category_sort,Category_hierarchy,Notes
180,180,Number of pupils,NUM,1,,6602177 - Ysgol Gymraeg Morswyn,6602177,31,,All pupils,all,3,,Total
30,30,Number of pupils,NUM,1,,6602226 - Ysgol Gynradd Corn Hir,6602226,32,,Eligible for free school meals,fsm,1,,
40,40,Number of pupils,NUM,1,,6602226 - Ysgol Gynradd Corn Hir,6602226,32,,Eligible for free school meals or transitionally protected,fsmtp,2,,
340,340,Number of pupils,NUM,1,,6602226 - Ysgol Gynradd Corn Hir,6602226,32,,All pupils,all,3,,Total
10,10,Number of pupils,NUM,1,,6602227 - Rhyd y Llan,6602227,33,,Eligible for free school meals,fsm,1,,
20,20,Number of pupils,NUM,1,,6602227 - Rhyd y Llan,6602227,33,,Eligible for free school meals or transitionally protected,fsmtp,2,,
120,120,Number of pupils,NUM,1,,6602227 - Rhyd y Llan,6602227,33,,All pupils,all,3,,Total
5,5,Number of pupils,NUM,1,,6602228 - Ysgol Parc y Bont,6602228,34,,Eligible for free school meals,fsm,1,,
10,10,Number of pupils,NUM,1,,6602228 - Ysgol Parc y Bont,6602228,34,,Eligible for free school meals or transitionally protected,fsmtp,2,,
115,115,Number of pupils,NUM,1,,6602228 - Ysgol Parc y Bont,6602228,34,,All pupils,all,3,,Total
100,100,Number of pupils,NUM,1,,6603036 - Cybi,6603036,35,,Eligible for free school meals,fsm,1,,
140,140,Number of pupils,NUM,1,,6603036 - Cybi,6603036,35,,Eligible for free school meals or transitionally protected,fsmtp,2,,
425,425,Number of pupils,NUM,1,,6603036 - Cybi,6603036,35,,All pupils,all,3,,Total
25,25,Number of pupils,NUM,1,,6603037 - Ysgol Santes Dwynwen,6603037,36,,Eligible for free school meals,fsm,1,,
30,30,Number of pupils,NUM,1,,6603037 - Ysgol Santes Dwynwen,6603037,36,,Eligible for free school meals or transitionally protected,fsmtp,2,,
105,105,Number of pupils,NUM,1,,6603037 - Ysgol Santes Dwynwen,6603037,36,,All pupils,all,3,,Total
20,20,Number of pupils,NUM,1,,6603304 - Ysgol Santes Fair,6603304,37,,Eligible for free school meals,fsm,1,,
30,30,Number of pupils,NUM,1,,6603304 - Ysgol Santes Fair,6603304,37,,Eligible for free school meals or transitionally protected,fsmtp,2,,
100,100,Number of pupils,NUM,1,,6603304 - Ysgol Santes Fair,6603304,37,,All pupils,all,3,,Total
85,85,Number of pupils,NUM,1,,6604025 - Ysgol Syr Thomas Jones,6604025,38,,Eligible for free school meals,fsm,1,,
125,125,Number of pupils,NUM,1,,6604025 - Ysgol Syr Thomas Jones,6604025,38,,Eligible for free school meals or transitionally protected,fsmtp,2,,
535,535,Number of pupils,NUM,1,,6604025 - Ysgol Syr Thomas Jones,6604025,38,,All pupils,all,3,,Total
205,205,Number of pupils,NUM,1,,6604026 - Ysgol Uwchradd Caergybi,6604026,39,,Eligible for free school meals,fsm,1,,
275,275,Number of pupils,NUM,1,,6604026 - Ysgol Uwchradd Caergybi,6604026,39,,Eligible for free school meals or transitionally protected,fsmtp,2,,
820,820,Number of pupils,NUM,1,,6604026 - Ysgol Uwchradd Caergybi,6604026,39,,All pupils,all,3,,Total
115,115,Number of pupils,NUM,1,,6604027 - Ysgol Gyfun Llangefni,6604027,40,,Eligible for free school meals,fsm,1,,
140,140,Number of pupils,NUM,1,,6604027 - Ysgol Gyfun Llangefni,6604027,40,,Eligible for free school meals or transitionally protected,fsmtp,2,,
760,760,Number of pupils,NUM,1,,6604027 - Ysgol Gyfun Llangefni,6604027,40,,All pupils,all,3,,Total
105,105,Number of pupils,NUM,1,,6604028 - Ysgol David Hughes,6604028,41,,Eligible for free school meals,fsm,1,,
170,170,Number of pupils,NUM,1,,6604028 - Ysgol David Hughes,6604028,41,,Eligible for free school meals or transitionally protected,fsmtp,2,,
"1,125",1125,Number of pupils,NUM,1,,6604028 - Ysgol David Hughes,6604028,41,,All pupils,all,3,,Total
145,145,Number of pupils,NUM,1,,6604029 - Ysgol Uwchradd Bodedern,6604029,42,,Eligible for free school meals,fsm,1,,
160,160,Number of pupils,NUM,1,,6604029 - Ysgol Uwchradd Bodedern,6604029,42,,Eligible for free school meals or transitionally protected,fsmtp,2,,
810,810,Number of pupils,NUM,1,,6604029 - Ysgol Uwchradd Bodedern,6604029,42,,All pupils,all,3,,Total
30,30,Number of pupils,NUM,1,,6605200 - Ysgol Caergeiliog,6605200,43,,Eligible for free school meals,fsm,1,,
45,45,Number of pupils,NUM,1,,6605200 - Ysgol Caergeiliog,6605200,43,,Eligible for free school meals or transitionally protected,fsmtp,2,,
310,310,Number of pupils,NUM,1,,6605200 - Ysgol Caergeiliog,6605200,43,,All pupils,all,3,,Total
60,60,Number of pupils,NUM,1,,6607011 - Canolfan Addysg y Bont,6607011,44,,Eligible for free school meals,fsm,1,,
60,60,Number of pupils,NUM,1,,6607011 - Canolfan Addysg y Bont,6607011,44,,Eligible for free school meals or transitionally protected,fsmtp,2,,
125,125,Number of pupils,NUM,1,,6607011 - Canolfan Addysg y Bont,6607011,44,,All pupils,all,3,,Total
25,25,Number of pupils,NUM,1,,6612000 - Ysgol Gwaun Gyfni,6612000,45,,Eligible for free school meals,fsm,1,,
40,40,Number of pupils,NUM,1,,6612000 - Ysgol Gwaun Gyfni,6612000,45,,Eligible for free school meals or transitionally protected,fsmtp,2,,
130,130,Number of pupils,NUM,1,,6612000 - Ysgol Gwaun Gyfni,6612000,45,,All pupils,all,3,,Total
15,15,Number of pupils,NUM,1,,6612004 - YSGOL GYNRADD NEFYN,6612004,46,,Eligible for free school meals,fsm,1,,
20,20,Number of pupils,NUM,1,,6612004 - YSGOL GYNRADD NEFYN,6612004,46,,Eligible for free school meals or transitionally protected,fsmtp,2,,
130,130,Number of pupils,NUM,1,,6612004 - YSGOL GYNRADD NEFYN,6612004,46,,All pupils,all,3,,Total
10,10,Number of pupils,NUM,1,,6612006 - Ysgol Llanrug,6612006,47,,Eligible for free school meals,fsm,1,,
20,20,Number of pupils,NUM,1,,6612006 - Ysgol Llanrug,6612006,47,,Eligible for free school meals or transitionally protected,fsmtp,2,,
265,265,Number of pupils,NUM,1,,6612006 - Ysgol Llanrug,6612006,47,,All pupils,all,3,,Total
5,5,Number of pupils,NUM,1,,6612008 - Ysgol Gynradd Abererch,6612008,48,,Eligible for free school meals,fsm,1,,
5,5,Number of pupils,NUM,1,,6612008 - Ysgol Gynradd Abererch,6612008,48,,Eligible for free school meals or transitionally protected,fsmtp,2,,
70,70,Number of pupils,NUM,1,,6612008 - Ysgol Gynradd Abererch,6612008,48,,All pupils,all,3,,Total
,,Number of pupils,NUM,1,,6612010 - YSGOL BEDDGELERT,6612010,49,,Eligible for free school meals,fsm,1,,Confidential
5,5,Number of pupils,NUM,1,,6612010 - YSGOL BEDDGELERT,6612010,49,,Eligible for free school meals or transitionally protected,fsmtp,2,,
30,30,Number of pupils,NUM,1,,6612010 - YSGOL BEDDGELERT,6612010,49,,All pupils,all,3,,Total
5,5,Number of pupils,NUM,1,,6612011 - Ysgol Bethel,6612011,50,,Eligible for free school meals,fsm,1,,
15,15,Number of pupils,NUM,1,,6612011 - Ysgol Bethel,6612011,50,,Eligible for free school meals or transitionally protected,fsmtp,2,,
145,145,Number of pupils,NUM,1,,6612011 - Ysgol Bethel,6612011,50,,All pupils,all,3,,Total
,,Number of pupils,NUM,1,,6612013 - Ysgol Bodfeurig,6612013,51,,Eligible for free school meals,fsm,1,,Confidential
5,5,Number of pupils,NUM,1,,6612013 - Ysgol Bodfeurig,6612013,51,,Eligible for free school meals or transitionally protected,fsmtp,2,,
55,55,Number of pupils,NUM,1,,6612013 - Ysgol Bodfeurig,6612013,51,,All pupils,all,3,,Total
0,0,Number of pupils,NUM,1,,6612015 - YSGOL GYNRADD BORTH-Y-GEST,6612015,52,,Eligible for free school meals,fsm,1,,
,,Number of pupils,NUM,1,,6612015 - YSGOL GYNRADD BORTH-Y-GEST,6612015,52,,Eligible for free school meals or transitionally protected,fsmtp,2,,Confidential
30,30,Number of pupils,NUM,1,,6612015 - YSGOL GYNRADD BORTH-Y-GEST,6612015,52,,All pupils,all,3,,Total
10,10,Number of pupils,NUM,1,,6612017 - Ysgol Brynaerau,6612017,53,,Eligible for free school meals,fsm,1,,
10,10,Number of pupils,NUM,1,,6612017 - Ysgol Brynaerau,6612017,53,,Eligible for free school meals or transitionally protected,fsmtp,2,,
55,55,Number of pupils,NUM,1,,6612017 - Ysgol Brynaerau,6612017,53,,All pupils,all,3,,Total
10,10,Number of pupils,NUM,1,,6612026 - Ysgol Y Gelli,6612026,54,,Eligible for free school meals,fsm,1,,
10,10,Number of pupils,NUM,1,,6612026 - Ysgol Y Gelli,6612026,54,,Eligible for free school meals or transitionally protected,fsmtp,2,,
220,220,Number of pupils,NUM,1,,6612026 - Ysgol Y Gelli,6612026,54,,All pupils,all,3,,Total
