Latitude,Longitude,CommonName,StopType,Status
53.330303776,-3.404089715,Elmsway Drive,BCT,active
53.331890756,-3.404442187,Eden Avenue,BCT,active
53.334844802,-3.405875908,Prestatyn Bus Station Stand 3,BCS,active
53.337044154,-3.407284904,Royal Victoria Hotel,BCT,active
53.339790029,-3.400060666,Highbury Avenue,BCT,active
53.337980403,-3.391845952,Nant Drive,BCT,active
53.336702569,-3.38887568,Rhodfa Bedwen,BCT,active
53.341098109,-3.393524636,Warren Close,BCT,active
53.342291867,-3.399906227,Pontins Holiday Camp,BCT,active
53.344263398,-3.403406815,Sands Hotel,BCT,active
53.34060415,-3.416384198,Third Avenue,BCT,active
53.341389312,-3.411573646,Nova Centre,BCT,active
53.336878661,-3.412160576,Sea Road,BCT,active
53.336323384,-3.414635362,Prestatyn Police Station,BCT,active
53.335911328,-3.417925757,Coniston Drive,BCT,active
53.335352947,-3.424049725,Glandwr,BCT,active
53.334957089,-3.429337958,Ffrith Beach,BCT,active
53.332568395,-3.434739454,Brig-y-Don,BCT,active
53.331657298,-3.438733443,Earlswood Avenue,BCT,active
53.330654296,-3.445487197,Arfon Avenue,BCT,active
53.329522374,-3.444683089,Cherry Close,BCT,active
53.330451788,-3.439188377,The Boulevard,BCT,active
53.333362635,-3.429615024,Lon Dyfi West,BCT,active
53.33382649,-3.429164988,Ffrith Hotel,BCT,active
53.334308614,-3.424180126,Seabank Community Centre,BCT,active
53.333662826,-3.42255171,Milmor Way Shops,BCT,active
53.33419071,-3.415961399,Glan y Gors Middle,BCT,active
53.325740818,-3.416702543,Canterbury Drive,BCT,active
53.329998939,-3.42486248,The Broadway,BCT,active
53.332014859,-3.423548064,Exeter Close,BCT,active
53.32607877,-3.423050098,Lon Tilsli,BCT,active
53.326032548,-3.419384887,Cardiff Way,BCT,active
53.327908778,-3.42186471,Lon Taliesin,BCT,active
53.33015656,-3.425213114,The Broadway,BCT,active
52.98155700000635,-3.413799496532249,Pont Melin-Rug,BCT,active
52.975330821,-3.440657568,Fourcrosses Farm,BCT,active
53.189046426,-3.412527358,Denbigh Shopping Park,BCT,active
53.185007029,-3.415755226,Post Office Lane,BCT,active
53.183383037,-3.419652488,High Street,BCT,active
53.1833299,-3.422598866,Lenten Pool,BCT,active
53.195840034,-3.43897068,Denbigh Golf Club,BCT,active
53.200975531,-3.46276748,Post Office,BCT,active
53.201149413,-3.457743046,Parc-y-Llan,BCT,active
53.177766713,-3.466212167,Leger Farm,BCT,active
53.261991156,-3.453335083,Roe Park,BCT,active
53.140098234,-3.194439289,Miners` Arms,BCT,active
53.136568886,-3.183727955,Maeshafn Youth Hostel,BCT,active
53.13115569,-3.184341391,Pant Du Quarry,BCT,active
53.337559177,-3.416178141,Windermere Drive,BCT,active
53.332063641,-3.444168292,Green Lanes Middle,BCT,active
53.339663603,-3.404697643,Beach Avenue,BCT,active
53.33408528,-3.395924095,The Avenue,BCT,active
53.325718397,-3.408728875,Princes Avenue,BCT,active
53.328734554,-3.416681627,Winchester Drive,BCT,active
53.332005119,-3.40770466,North Avenue,BCT,active
53.28540023,-3.401896701,Blue Lion,BCT,active
53.254000675,-3.440277768,Llys Alun,BCT,active
53.187208956,-3.412400411,Aldi Car Park,BCT,active
53.255992785,-3.439085502,Ysgol Glan Clwyd,BCT,active
53.088932869,-3.293872829,Llanfair Dyffryn Clwyd War Memorial,BCT,active
53.18472948,-3.405793951,Ysgol Plas Brondyffryn High School Bus Park,BCT,active
53.183310855,-3.422688026,Lenten Pool,BCT,active
53.113442404,-3.322159301,Maes Hafod South,BCT,active
53.112705517,-3.318894617,Ty`n-y-Parc Middle,BCT,active
53.115283661,-3.313773994,Ruthin Fire Station,BCT,active
52.982886256,-3.199957994,St Tysilio`s,BCT,active
53.304871575,-3.469453758,Rhyl Park & Ride,BCT,active
53.33434254,-3.430729135,Ffrith Post Office,BCT,active
53.324670688,-3.47094491,Spruce Avenue,BCT,active
53.193622152,-3.413614154,Colomendy Industrial Estate,BCT,active
52.959394697,-3.407389624,Ifor Wiliams Trailers,BCT,active
52.981242087,-3.372247179,Corwen Bus Station,BCT,active
53.258603143,-3.4506716,Swan Inn,BCT,active
53.257139834,-3.449392854,The Roe Health Centre,BCT,active
53.257448287,-3.442492407,St Asaph Cathedral,BCT,active
53.246515594,-3.435904878,Oriel House,BCT,active
53.24366988,-3.434460787,Bryn Polyn Nurseries,BCT,active
53.331731876,-3.42992089,Russell Drive,BCT,active
53.33451872,-3.404183128,King`s Avenue,BCT,active
