FID,uprn,school_code,school_name,la_code,local_authority,sector,governance,wm_code,welsh_medium,school_type,religious_character,address_1,address_2,address_3,address_4,postcode,phone_number,pupils,rhif_yr_ysgol,enwr_ysgol,cod_all,awdurdod_lleol,llywodraethu,cod_cc,math_o_gyfrwng_cymraeg,math_o_ysgol,cymeriad_crefyddol,cyfeiriad_1,cyfeiriad_2,cyfeiriad_3,cyfeiriad_4,cod_post,rhif_ffon,disgyblion,id,geom
maintained_schools_wg.829,200002955388,6712155,Maesmarchog Community Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium school / provision,"Nursery, Infants & Juniors",---,School Road,Dyffryn Cellwen,Neath,,SA10 9LB,01639700228,83,6712155,Maesmarchog Community Primary School,671,Castell-nedd Port Talbot,Cymuned,EM,Cyfrwng Saesneg,"Iau, babanod a meithrin",---,School Road,Dyffryn Cellwen,Neath,,SA10 9LB,01639700228,83,829,POINT (-3.664072738910217 51.77705535779166)
maintained_schools_wg.831,200001853241,6712161,Sandfields Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium school / provision,"Nursery, Infants & Juniors",---,Lilian Street,Aberavon,Port Talbot,,SA12 6AJ,01639882355,249,6712161,Sandfields Primary School,671,Castell-nedd Port Talbot,Cymuned,EM,Cyfrwng Saesneg,"Iau, babanod a meithrin",---,Lilian Street,Aberavon,Port Talbot,,SA12 6AJ,01639882355,249,831,POINT (-3.7986486725311837 51.59563333000961)
maintained_schools_wg.832,10009185277,6712168,YGG Castell-nedd,671,Neath Port Talbot,Primary,Community,WM,Welsh medium school / provision (including transitional),"Nursery, Infants & Juniors",---,Heol Woodland,Castell-Nedd,,,SA11 3AL,01639637701,408,6712168,YGG Castell-nedd,671,Castell-nedd Port Talbot,Cymuned,WM,Cyfrwng Cymraeg,"Iau, babanod a meithrin",---,Heol Woodland,Castell-Nedd,,,SA11 3AL,01639637701,408,832,POINT (-3.7983861602587328 51.66167664367355)
maintained_schools_wg.833,200002955837,6712173,Croeserw Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium school / provision,"Nursery, Infants & Juniors",---,Bryn Siriol,Cymmer,Port Talbot,,SA13 3PL,01639850265,137,6712173,Croeserw Primary School,671,Castell-nedd Port Talbot,Cymuned,EM,Cyfrwng Saesneg,"Iau, babanod a meithrin",---,Bryn Siriol,Cymmer,Port Talbot,,SA13 3PL,01639850265,137,833,POINT (-3.6354902610797226 51.64514852741471)
maintained_schools_wg.834,100100991481,6712175,Tywyn Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium school / provision,"Nursery, Infants & Juniors",---,Channel View,Sandfields,Port Talbot,,SA12 6JF,01639790883,439,6712175,Tywyn Primary School,671,Castell-nedd Port Talbot,Cymuned,EM,Cyfrwng Saesneg,"Iau, babanod a meithrin",---,Channel View,Sandfields,Port Talbot,,SA12 6JF,01639790883,439,834,POINT (-3.807318329172073 51.58998780956509)
maintained_schools_wg.835,200002961578,6712178,Llangiwg Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium school / provision,"Nursery, Infants & Juniors",---,New Road,Ynysmeudwy,Pontardawe,Swansea,SA8 4PJ,01792863274,81,6712178,Llangiwg Primary School,671,Castell-nedd Port Talbot,Cymuned,EM,Cyfrwng Saesneg,"Iau, babanod a meithrin",---,New Road,Ynysmeudwy,Pontardawe,Swansea,SA8 4PJ,01792863274,81,835,POINT (-3.8417402842877086 51.72738521492893)
maintained_schools_wg.836,100101040252,6712181,Tonnau Primary Community School,671,Neath Port Talbot,Primary,Community,EM,English medium school / provision,"Nursery, Infants & Juniors",---,School Road,Tonna,Neath,,SA11 3EJ,01639637062,206,6712181,Tonnau Primary Community School,671,Castell-nedd Port Talbot,Cymuned,EM,Cyfrwng Saesneg,"Iau, babanod a meithrin",---,School Road,Tonna,Neath,,SA11 3EJ,01639637062,206,836,POINT (-3.7772210738227097 51.67430926777418)
maintained_schools_wg.837,100101040165,6712187,Ynysfach Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium school / provision,"Nursery, Infants & Juniors",---,Resolven,Neath,,,SA11 4AB,01639710238,149,6712187,Ynysfach Primary School,671,Castell-nedd Port Talbot,Cymuned,EM,Cyfrwng Saesneg,"Iau, babanod a meithrin",---,Resolven,Neath,,,SA11 4AB,01639710238,149,837,POINT (-3.6943389584102544 51.70885843280533)
maintained_schools_wg.838,100101040503,6712191,Blaenbaglan Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium school / provision,"Nursery, Infants & Juniors",---,Maes-Ty-Canol,Baglan,Port Talbot,,SA12 8YF,01639769775,267,6712191,Blaenbaglan Primary School,671,Castell-nedd Port Talbot,Cymuned,EM,Cyfrwng Saesneg,"Iau, babanod a meithrin",---,Maes-Ty-Canol,Baglan,Port Talbot,,SA12 8YF,01639769775,267,838,POINT (-3.7968201043122023 51.62099266770931)
maintained_schools_wg.839,100101040736,6712200,Rhos Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium school / provision,"Nursery, Infants & Juniors",---,Neath Road,Rhos,Swansea,,SA8 3EB,01792862177,147,6712200,Rhos Primary School,671,Castell-nedd Port Talbot,Cymuned,EM,Cyfrwng Saesneg,"Iau, babanod a meithrin",---,Neath Road,Rhos,Swansea,,SA8 3EB,01792862177,147,839,POINT (-3.8304921561030025 51.71347927078744)
